DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026-02-18,01:00,River Plate,Ciudad de Bolívar,85,10,5,95,90,15,42,37,63,27,73,BCL
2026-02-18,19:00,Porto BA,Serra Branca,31,36,33,67,64,69,56,66,34,41,59,BCL
2026-02-18,19:30,Maguary,Laguna RN,76,18,6,94,82,24,46,58,42,31,69,BCL
2026-02-18,20:00,Bare EC,Madureira,21,21,58,42,79,79,58,57,43,43,57,BCL
2026-02-18,22:30,Araguaina,Primavera SP,21,24,55,45,76,79,57,61,39,42,58,BCL
2026-02-18,23:00,Gama,Monte Roraima,77,18,5,95,82,23,54,59,41,39,61,BCL
2026-02-18,23:00,Betim,Piaui,70,20,10,90,80,30,56,57,43,41,59,BCL
2026-02-18,23:00,America SE,CEFAT Tirol,46,28,26,74,72,54,56,66,34,41,59,BCL
2026-02-18,23:00,Santa Catarina,IAPE,65,22,13,87,78,35,52,63,37,37,63,BCL
2026-02-18,23:30,Ji-Parana,Pantanal,45,24,31,69,76,55,57,65,35,42,58,BCL
2026-02-18,23:30,Ivinhema,Independente AP,55,25,20,80,75,45,57,62,38,42,58,BCL
2026-02-18,18:00,Confianca Sape,Pombal EC,26,22,52,48,78,74,77,49,51,62,38,BCL
2026-02-18,22:30,Campinense,Sousa,52,28,20,80,72,48,76,35,65,61,39,BCL
2026-02-18,01:10,Popayan,Orsomarso,48,27,25,75,73,52,68,35,65,53,47,BCL
2026-02-18,01:00,Atletico Ottawa,Nashville SC,16,18,66,34,82,84,70,41,59,55,45,BCL
2026-02-18,03:00,Real Espana,LAFC,21,25,54,46,75,79,72,46,54,57,43,BCL
2026-02-18,23:00,Defence Force FC,Philadelphia,9,18,73,27,82,91,70,37,63,55,45,BCL
2026-02-18,00:30,2 de Mayo,Sporting Cristal,30,37,33,67,63,70,58,63,37,43,57,BCL
2026-02-18,00:30,Liverpool Montevideo,Independiente Medellin,43,27,30,70,73,57,68,41,59,53,47,BCL
2026-02-18,22:00,OHiggins,Bahia,23,26,51,49,74,77,68,43,57,53,47,BCL
2026-02-18,20:00,Wolverhampton,Arsenal,7,16,77,23,84,93,54,64,36,39,61,BCL
2026-02-18,19:45,Wigan,Luton,30,28,42,58,72,70,60,61,39,45,55,BCL
2026-02-18,19:45,Grimsby,Walsall,53,26,21,79,74,47,68,42,58,53,47,BCL
2026-02-18,21:00,Cobán Imperial,Municipal,32,34,34,66,66,68,53,62,38,38,62,BCL
2026-02-18,19:45,AC Milan,Como,44,28,28,72,72,56,73,48,52,58,42,BCL
2026-02-18,16:30,Pistoiese,U.S. Ancona,43,28,29,71,72,57,77,35,65,62,38,BCL
2026-02-18,12:00,Sofapaka,Police,26,29,45,55,71,74,53,71,29,38,62,BCL
2026-02-18,12:00,Ulinzi Stars,Homeboyz,26,29,45,55,71,74,53,71,29,38,62,BCL
2026-02-18,15:00,Mathare United,Shabana,25,29,46,54,71,75,53,71,29,38,62,BCL
2026-02-18,17:30,Floriana,Marsaxlokk,49,29,22,78,71,51,59,62,38,44,56,BCL
2026-02-18,17:30,Hibernians,Hamrun Spartans,11,20,69,31,80,89,58,64,36,43,57,BCL
2026-02-18,20:00,Mosta,Tarxien Rainbows,42,28,30,70,72,58,74,45,55,59,41,BCL
2026-02-18,17:00,Renaissance Zemamra,RSB Berkane,13,26,61,39,74,87,52,65,35,37,63,BCL
2026-02-18,21:00,Jalapa,Rancho Santana FC,68,20,12,88,80,32,73,39,61,58,42,BCL
2026-02-18,23:00,CD Walter Ferretti,Matagalpa FC,55,24,21,79,76,45,75,46,54,60,40,BCL
2026-02-18,19:45,Aberdeen,Motherwell,28,26,46,54,74,72,70,43,57,55,45,BCL
2026-02-18,17:00,Spartak Trnava,Slovan Bratislava,30,26,44,56,74,70,79,42,58,64,36,BCL
2026-02-18,17:30,Stellenbosch,Magesi,54,30,16,84,70,46,46,73,27,31,69,BCL
2026-02-18,17:30,Orlando Pirates,Mamelodi Sundowns,31,38,31,69,62,69,52,71,29,37,63,BCL
2026-02-18,17:30,Siwelele,Kaizer Chiefs,24,30,46,54,70,76,49,71,29,34,66,BCL
2026-02-18,19:00,Levante,Villarreal,22,23,55,45,77,78,74,43,57,59,41,BCL
2026-02-18,18:00,Winterthur,St Gallen,19,22,59,41,78,81,80,35,65,65,35,BCL
2026-02-18,11:30,Ankara Keciorengucu,Erzurumspor FK,32,25,43,57,75,68,72,49,51,57,43,BCL
2026-02-18,11:30,Serik Belediyespor,Corum FK,5,13,82,18,87,95,58,34,66,43,57,BCL
2026-02-18,14:00,Vanspor FK,Bodrum FK,30,36,34,66,64,70,74,46,54,59,41,BCL
2026-02-18,17:00,Manisa FK,Bandirmaspor,43,25,32,68,75,57,78,43,57,63,37,BCL
2026-02-18,17:45,FK Qarabag,Newcastle,13,17,70,30,83,87,60,41,59,45,55,BCL
2026-02-18,20:00,Club Brugge,Atletico Madrid,24,24,52,48,76,76,78,41,59,63,37,BCL
2026-02-18,20:00,Bodo/Glimt,Inter Milan,19,23,58,42,77,81,80,35,65,65,35,BCL
2026-02-18,20:00,Olympiacos,Bayer Leverkusen,30,37,33,67,63,70,74,48,52,59,41,BCL
2026-02-18,17:45,Real Madrid (W),Paris FC (W),70,19,11,89,81,30,76,31,69,61,39,BCL
2026-02-18,20:00,Arsenal (W),OH Leuven (W),87,8,5,95,92,13,35,20,80,20,80,BCL
2026-02-18,10:00,Melbourne City,Gangwon FC,30,36,34,66,64,70,53,57,43,38,62,BCL
2026-02-18,10:00,SHANGHAI SIPG,Ulsan Hyundai FC,20,20,60,40,80,80,74,39,61,59,41,BCL
