DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X,12,X2,OVER 1.5
18/02/2026,0:00,Sampaio Corrêa RJ,Desp. Ferroviária ES,47,15,38,34,66,43,57,Forebet,62.0,85.0,53.0,58
18/02/2026,1:00,Bagatelle,Kick Start,23,27,50,37,63,49,51,Forebet,50.0,73.0,77.0,64
18/02/2026,1:05,Central Córdoba SdE Res.,Atlético Rafaela Res.,30,33,37,75,25,19,81,Forebet,63.0,67.0,70.0,34
18/02/2026,1:30,2 de Mayo,Sporting Cristal,46,33,21,54,46,48,52,Forebet,79.0,67.0,54.0,63
18/02/2026,1:30,Liverpool (URU),Ind Medellin,28,31,41,57,43,46,54,Forebet,59.0,69.0,72.0,61
18/02/2026,2:00,Atlético Ottawa,Nashville SC,47,12,41,45,55,67,33,Forebet,59.0,88.0,53.0,82
18/02/2026,2:00,Pride of Gall Hill,UWI Blackbirds,45,38,16,60,40,40,60,Forebet,83.0,61.0,54.0,55
18/02/2026,2:00,River Plate,Ciudad Bolivar,64,21,15,64,36,40,60,Forebet,85.0,79.0,36.0,55
18/02/2026,2:15,Boca Juniors Cali,Orsomarso SC,27,37,36,63,37,27,73,Forebet,64.0,63.0,73.0,42
18/02/2026,4:00,Real España,Los Angeles FC,41,36,23,34,66,64,36,Forebet,77.0,64.0,59.0,79
18/02/2026,9:30,Luangprabang United,Lao Army,27,38,35,27,73,83,17,Forebet,65.0,62.0,73.0,98
18/02/2026,11:00,Kahramanmaraş İstiklalsp,Hekimoglu Trabzon,44,17,39,53,47,49,51,Forebet,61.0,83.0,56.0,64
18/02/2026,11:00,Shanghai SIPG,Ulsan Hyundai,39,36,25,46,54,62,38,Forebet,75.0,64.0,61.0,77
18/02/2026,11:00,Melbourne City,Gangwon FC,36,35,29,60,40,46,54,Forebet,71.0,65.0,64.0,61
18/02/2026,12:00,Pattaya Dolphins,Nakhon Pathom,19,48,33,63,37,51,49,Forebet,67.0,52.0,81.0,66
18/02/2026,12:30,Keçiörengücü,Erzurum BB,21,27,52,37,63,84,16,Forebet,48.0,73.0,79.0,99
18/02/2026,12:30,Serik Belediyespor,Çorum Belediyesi,25,21,54,52,48,48,52,Forebet,46.0,79.0,75.0,63
18/02/2026,12:30,Songkhla FC,Khon Kaen United,25,39,36,7,93,74,26,Forebet,64.0,61.0,75.0,89
18/02/2026,12:30,Sisaket United,Nong Bua Pitchaya,26,47,27,55,45,60,40,Forebet,73.0,53.0,74.0,75
18/02/2026,13:00,Nairobi United,Mara Sugar,36,35,29,60,40,45,55,Forebet,71.0,65.0,64.0,60
18/02/2026,13:00,Kepez Belediyespor,Sanlıurfaspor,14,20,66,40,60,60,40,Forebet,34.0,80.0,86.0,75
18/02/2026,13:00,Police Tero FC,Trat FC,60,16,24,36,64,64,36,Forebet,76.0,84.0,40.0,79
18/02/2026,13:00,Pattani FC,Rasi Salai United,22,33,45,26,74,74,26,Forebet,55.0,67.0,78.0,89
18/02/2026,13:00,KF Feronikeli,Dinamo Ferizaj,38,28,34,59,41,23,77,Forebet,66.0,72.0,62.0,38
18/02/2026,13:15,Tampines Rovers,Cong an Nhan dan,41,31,28,34,66,63,37,Forebet,72.0,69.0,59.0,78
18/02/2026,13:15,Persib Bandung,Ratchaburi FC,35,22,43,47,53,55,45,Forebet,57.0,78.0,65.0,70
18/02/2026,14:00,Coton Sport,AS Fortuna,41,39,20,74,26,25,75,Forebet,80.0,61.0,59.0,40
18/02/2026,14:00,Lugazi Municipal,UPDF FC,43,33,24,42,58,51,49,Forebet,76.0,67.0,57.0,66
18/02/2026,14:00,Calvary,Express FC,21,36,44,55,45,31,69,Forebet,57.0,65.0,80.0,46
18/02/2026,15:00,Van BB,Bodrumspor SK,25,28,47,38,62,75,25,Forebet,53.0,72.0,75.0,90
18/02/2026,15:00,Eintracht Frankfurt U19,Koln U19,32,33,35,20,80,65,35,Forebet,65.0,67.0,68.0,80
18/02/2026,15:30,Liptovsky Mikulas,KFC Komarno,36,35,29,37,63,62,38,Forebet,71.0,65.0,64.0,77
18/02/2026,16:00,Gazelle,Fauve Azur Elite,66,18,16,67,33,25,75,Forebet,84.0,82.0,34.0,40
