DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026-02-18,21:00,Bodo/Glimt,Inter,21,19,60,40,81,79,92,33,67,52,48,STA
2026-02-18,21:00,Olympiakos Piraeus,Bayer Leverkusen,38,24,38,62,76,62,81,52,48,45,55,STA
2026-02-18,21:00,Club Brugge,Atletico Madrid,30,27,43,57,73,70,82,38,62,52,48,STA
2026-02-18,18:45,Qarabag,Newcastle,26,24,50,50,76,74,88,39,61,56,44,STA
2026-02-18,21:00,Wolves,Arsenal,15,15,70,30,85,85,88,37,63,41,59,STA
2026-02-18,20:00,Levante,Villarreal,23,25,52,48,75,77,93,37,63,58,42,STA
2026-02-18,20:45,AC Milan,Como,45,30,25,75,70,55,79,42,58,49,51,STA
2026-02-18,18:30,Orlando Pirates,Mamelodi Sundowns,42,33,25,75,67,58,65,67,33,36,64,STA
2026-02-18,18:30,Supersport United,Kaizer Chiefs,28,33,39,61,67,72,56,67,33,38,62,STA
2026-02-18,18:30,Stellenbosch FC,Magesi FC,44,34,22,78,66,56,74,56,44,35,65,STA
2026-02-18,01:30,Liverpool Montevideo,Independiente Medellin,41,31,28,72,69,59,71,46,54,55,45,STA
2026-02-18,23:00,O Higgins,Bahia,33,26,41,59,74,67,74,54,46,48,52,STA
2026-02-18,01:30,2 De Mayo,Sporting Cristal,30,31,39,61,69,70,70,58,42,40,60,STA
2026-02-18,11:00,Shanghai SIPG FC,Ulsan Hyundai FC,35,28,37,63,72,65,90,37,63,62,38,STA
2026-02-18,11:00,Melbourne City,Gangwon FC,36,32,32,68,68,64,67,57,43,52,48,STA
2026-02-18,18:00,Spartak Trnava,Slovan Bratislava,34,28,38,62,72,66,78,46,54,50,50,STA
2026-02-18,15:30,Tatran Liptovsky Mikulas,KFC Komarno,39,25,36,64,75,61,89,42,58,61,39,STA
2026-02-18,20:45,Wigan,Luton,33,33,34,66,67,67,63,61,39,44,56,STA
2026-02-18,22:00,Coban Imperial,CSD Municipal,41,33,26,74,67,59,70,60,40,45,55,STA
2026-02-18,00:00,Jaguares,Santa Fe,38,36,26,74,64,62,69,59,41,46,54,STA
2026-02-18,19:15,Al-Ahli Doha,Sepahan FC,25,25,50,50,75,75,76,49,51,46,54,STA
