DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X PER,12 PER,X2 PER,OVER 1.5
24/07/2026,0:00,Brasil de Pelotas,Gramadense,31,40,29,67,33,43,57,Forebet,71.0,60.0,69.0,58
24/07/2026,0:30,Cuiabá,Atlético GO,22,57,21,59,41,31,69,Forebet,79.0,43.0,78.0,46
24/07/2026,1:00,CS Emelec,Mushuc Runa,45,34,21,46,54,53,47,Forebet,79.0,66.0,55.0,68
24/07/2026,1:00,CD Walter Ferretti,Diriangén FC,21,43,35,60,40,64,36,Forebet,64.0,56.0,78.0,79
24/07/2026,1:30,Botafogo SP,Juventude,22,34,44,68,32,36,64,Forebet,56.0,66.0,78.0,51
24/07/2026,1:30,Boca Juniors,O Higgins,54,29,17,58,42,46,54,Forebet,83.0,71.0,46.0,61
24/07/2026,1:30,Ind Santa Fe,Caracas,60,22,18,56,44,47,53,Forebet,82.0,78.0,40.0,62
24/07/2026,1:45,Defensa y Justicia,CA Aldosivi,34,47,19,73,27,27,73,Forebet,81.0,53.0,66.0,42
24/07/2026,3:00,CS Herediano,Puntarenas,54,28,19,46,54,57,43,Forebet,82.0,73.0,47.0,72
24/07/2026,6:00,FK Yenisey-2,Torpedo Vladimir,24,26,51,38,62,47,53,Forebet,50.0,75.0,77.0,62
24/07/2026,10:00,PP Ha Nam W,GT Thai Nguyen W,14,42,44,42,58,79,21,Forebet,56.0,58.0,86.0,94
24/07/2026,10:00,Ha Noi W,Ha Noi II W,75,17,8,18,82,49,51,Forebet,92.0,83.0,25.0,64
24/07/2026,10:00,Ho Chi Minh City W,Ho Chi Minh City II W,60,32,8,7,93,49,51,Forebet,92.0,68.0,40.0,64
24/07/2026,10:30,Manly United,Sydney Olympic,46,28,26,47,53,52,48,Forebet,74.0,72.0,54.0,67
24/07/2026,10:30,Heidelberg United,George Cross,41,34,25,47,53,61,39,Forebet,75.0,66.0,59.0,76
24/07/2026,10:30,Green Gully SC,Dandenong City,32,33,35,40,60,53,47,Forebet,65.0,67.0,68.0,68
24/07/2026,10:30,St Albans Saints,Hume City FC,23,24,53,35,65,70,30,Forebet,47.0,76.0,77.0,85
24/07/2026,10:30,NA Suruchi Sangha,Techno Aryan,57,34,9,87,13,21,79,Forebet,91.0,66.0,43.0,36
24/07/2026,10:30,Coal India,Rainbow,37,32,31,75,25,49,51,Forebet,69.0,68.0,63.0,64
24/07/2026,11:00,Almaz-Antey U19,Lokomotiv Moskva U19,12,41,47,18,82,86,14,Forebet,53.0,59.0,88.0,101
24/07/2026,11:00,Seoul W,Gumi Sportstoto W,32,37,30,58,42,51,49,Forebet,69.0,62.0,67.0,66
24/07/2026,11:00,Hwacheon KSPO W,Boeun Sangmu W,41,30,29,46,54,58,42,Forebet,71.0,70.0,59.0,73
24/07/2026,11:00,Gyeongju W,Changnyeong W,54,22,24,42,58,55,45,Forebet,76.0,78.0,46.0,70
24/07/2026,11:00,Suwon FMC W,Incheon Red Angels W,43,29,28,52,48,49,51,Forebet,72.0,71.0,57.0,64
24/07/2026,11:15,Oakleigh Cannons,South Melbourne,39,24,37,54,46,49,51,Forebet,63.0,76.0,61.0,64
24/07/2026,11:30,Preston Lions,Bentleigh Greens,52,34,14,50,50,55,45,Forebet,86.0,66.0,48.0,70
24/07/2026,11:30,Seoul E-Land,Cheonan City,50,28,23,39,61,64,36,Forebet,78.0,73.0,51.0,79
24/07/2026,11:30,Gimhae City,Cheongju FC,21,37,42,50,50,54,46,Forebet,58.0,63.0,79.0,69
24/07/2026,12:00,Yarud Mariupol,Viktoriya Mykolaivka,45,28,26,52,48,43,57,Forebet,73.0,71.0,54.0,58
24/07/2026,13:00,Yelimay II,FK Taraz,33,19,47,40,60,54,46,Forebet,52.0,80.0,66.0,69
24/07/2026,13:00,Nizhny Novgorod U19,Spartak Moskva U19,22,42,36,58,42,56,44,Forebet,64.0,58.0,78.0,71
24/07/2026,13:00,Akademiya Konoplev U20,Rostov U19,29,40,31,21,79,80,20,Forebet,69.0,60.0,71.0,95
24/07/2026,24/07/2026,Elman,Jeenyo,38,39,23,52,48,62,38,Forebet,77.0,61.0,62.0,77
24/07/2026,24/07/2026,Badbaado,Raadsan,42,33,25,42,58,81,19,Forebet,75.0,67.0,58.0,96
24/07/2026,24/07/2026,Ferroviário Nampula,UD Songo,24,36,40,32,68,70,30,Forebet,60.0,64.0,76.0,85
24/07/2026,14:00,PFK Aleksandriya,Niva Ternopil,48,25,26,50,50,37,63,Forebet,73.0,74.0,51.0,52
24/07/2026,14:00,Aktobe-Zhas,Kairat Almaty Akademiya,15,18,67,8,92,97,3,Forebet,33.0,82.0,85.0,112
24/07/2026,14:00,FC Shakhter,Arys,79,9,13,13,87,82,18,Forebet,88.0,92.0,22.0,97
24/07/2026,14:00,Gorila do Universo,Artilheiros,60,22,18,1,99,83,17,Forebet,82.0,78.0,40.0,98
24/07/2026,14:00,São Bento U20,Jabaquara U20,48,27,25,50,50,51,49,Forebet,75.0,73.0,52.0,66
24/07/2026,14:30,Bars,Asiagoal,61,29,10,1,99,75,25,Forebet,90.0,71.0,39.0,90
24/07/2026,15:00,Neftyanik Ufa,Zarya Lugansk,37,22,41,40,60,53,47,Forebet,59.0,78.0,63.0,68
24/07/2026,15:00,FK Tauras,Kauno Zalgiris-2,78,12,10,47,53,47,53,Forebet,90.0,88.0,22.0,62
24/07/2026,15:00,Chertanovo U20,Zenit U19,28,19,54,39,61,76,24,Forebet,47.0,82.0,73.0,91
24/07/2026,15:00,CSKA Moscow U19,Ural U19,69,18,14,33,67,49,51,Forebet,87.0,83.0,32.0,64
24/07/2026,15:00,Fakel U19,Rubin Kazan U19,40,33,27,39,61,65,35,Forebet,73.0,67.0,60.0,80
24/07/2026,15:30,Energetik-BGU,Dinamo Minsk II,33,26,41,20,80,92,8,Forebet,59.0,74.0,67.0,107
24/07/2026,15:30,OshMU-Aldier,Neftchi Kochkor-Ata,45,31,24,36,64,69,31,Forebet,76.0,69.0,55.0,84
24/07/2026,15:30,Muras United,Bishkek City,65,21,14,32,68,49,51,Forebet,86.0,79.0,35.0,64
24/07/2026,16:00,Tikves Kavadarci,Aresimi,45,22,33,29,71,74,26,Forebet,67.0,78.0,55.0,89
24/07/2026,16:00,Margveti 2006,Saburtalo,23,8,69,44,56,27,73,Forebet,31.0,92.0,77.0,42
24/07/2026,16:00,FC Turan,Tobol II,78,15,7,23,77,80,20,Forebet,93.0,85.0,22.0,95
24/07/2026,16:30,UTA Arad,Otelul Galati,23,22,55,46,54,60,40,Forebet,45.0,78.0,77.0,75
24/07/2026,16:30,FK Osipovichi,BATE II,27,29,44,25,75,65,35,Forebet,56.0,71.0,73.0,80
24/07/2026,16:30,HJS Akatemia,EBK Espoo,61,18,21,16,84,80,20,Forebet,79.0,82.0,39.0,95
24/07/2026,16:30,Kravare,Bospor Bohumín,21,12,67,12,88,63,37,Forebet,33.0,88.0,79.0,78
