DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X,12,X2,OVER 1.5
2026-7-24,00:30,Cuiaba MT , Atletico GO,28,45,27,68,32,43,57,PREMA,73.0,55.0,72.0,58
2026-7-24,01:00,Emelec , Mushuc Runa,39,28,33,63,37,47,53,PREMA,67.0,72.0,61.0,62
2026-7-24,01:30,Botafogo SP , Juventude RS,28,32,40,66,34,38,62,PREMA,60.0,68.0,72.0,53
2026-7-24,01:30,Boca Juniors , O'Higgins,46,36,18,49,51,38,62,PREMA,82.0,64.0,54.0,53
2026-7-24,01:30,Santa Fe Bogota , Caracas,45,37,18,57,43,36,64,PREMA,82.0,63.0,55.0,51
2026-7-24,01:45,Def. Y Justicia , Aldosivi,40,34,26,89,11,15,85,PREMA,74.0,66.0,60.0,30
2026-7-24,02:00,Ol. Tegucigalpa , Motagua,38,33,29,52,48,53,47,PREMA,71.0,67.0,62.0,68
2026-7-24,03:00,Herediano , Puntarenas,42,34,24,85,15,16,84,PREMA,76.0,66.0,58.0,31
2026-7-24,09:30,Como , Paris FC,42,32,26,46,54,52,48,PREMA,74.0,68.0,58.0,67
2026-7-24,10:00,Preston North End , Cambridge Utd,42,30,28,35,65,61,39,PREMA,72.0,70.0,58.0,76
2026-7-24,11:00,Z. Kanazawa , Gamba Osaka,20,34,46,36,64,47,53,PREMA,54.0,66.0,80.0,62
2026-7-24,11:30,Gimhae FC 2008 , Chungbuk Cheongju,19,43,38,46,54,68,32,PREMA,62.0,57.0,81.0,83
2026-7-24,11:30,Seoul E, Cheonan City,51,23,26,41,59,59,41,PREMA,74.0,77.0,49.0,74
2026-7-24,12:00,Swansea City , Udinese,30,30,40,49,51,52,48,PREMA,60.0,70.0,70.0,67
2026-7-24,12:00,FSC Mariupol , Viktoriya Sumy,37,33,30,86,14,13,87,PREMA,70.0,67.0,63.0,28
2026-7-24,13:00,Cambodia , Singapore,33,30,37,43,57,60,40,PREMA,63.0,70.0,67.0,75
2026-7-24,13:00,Groningen , Volendam,43,31,26,38,62,58,42,PREMA,74.0,69.0,57.0,73
2026-7-24,13:00,Lommel , ADO Den Haag,35,29,36,42,58,60,40,PREMA,64.0,71.0,65.0,75
2026-7-24,13:00,Wolfsburg , Lyon,27,30,43,26,74,68,32,PREMA,57.0,70.0,73.0,83
2026-7-24,14:00,Oleksandriya , Nyva Ternopil,41,33,26,56,44,44,56,PREMA,74.0,67.0,59.0,59
2026-7-24,14:30,East Timor , Vietnam,15,37,48,19,81,32,68,PREMA,52.0,63.0,85.0,47
2026-7-24,15:00,Bournemouth , Sankt Pauli,43,31,26,41,59,55,45,PREMA,74.0,69.0,57.0,70
2026-7-24,15:00,Freiburg , Derby County,39,28,33,27,73,72,28,PREMA,67.0,72.0,61.0,87
2026-7-24,16:30,Aubagne Air Bel , Bastia,34,31,35,52,48,53,47,PREMA,65.0,69.0,66.0,68
2026-7-24,16:30,UTA Arad , Otelul Galati,38,32,30,13,87,45,55,PREMA,70.0,68.0,62.0,60
2026-7-24,16:45,Beroe , Hebar,36,33,31,56,44,51,49,PREMA,69.0,67.0,64.0,66
2026-7-24,17:00,Dukla Prague , Arsenal Ceska Lipa,43,33,24,44,56,52,48,PREMA,76.0,67.0,57.0,67
2026-7-24,17:00,HS Kromeriz , Taborsko,35,31,34,83,17,16,84,PREMA,66.0,69.0,65.0,31
2026-7-24,17:00,Prostejov , Trinec,39,32,29,48,52,55,45,PREMA,71.0,68.0,61.0,70
2026-7-24,17:00,Usti nad Labem , SK Kladno,42,32,26,47,53,52,48,PREMA,74.0,68.0,58.0,67
2026-7-24,17:00,Vysocina Jihlava , Viktoria Zizkov,38,30,32,83,17,16,84,PREMA,68.0,70.0,62.0,31
2026-7-24,17:00,Vejle , AB Gladsaxe,42,31,27,42,58,56,44,PREMA,73.0,69.0,58.0,71
2026-7-24,17:00,Jaro , SJK Seinajoki,39,41,20,49,51,52,48,PREMA,80.0,59.0,61.0,67
2026-7-24,17:00,Jazz Pori , TPV Tampere,54,18,28,39,61,59,41,PREMA,72.0,82.0,46.0,74
2026-7-24,17:00,Tampere Utd , Inter Turku 2,65,16,19,41,59,50,50,PREMA,81.0,84.0,35.0,65
2026-7-24,17:00,Al, Mamelodi Sund.,40,30,30,47,53,53,47,PREMA,70.0,70.0,60.0,68
2026-7-24,17:00,Rosenborg , Manchester Utd,29,29,42,31,69,66,34,PREMA,58.0,71.0,71.0,81
2026-7-24,17:00,Siauliai , Hegelmann,37,28,35,50,50,58,42,PREMA,65.0,72.0,63.0,73
2026-7-24,17:00,Radomiak Radom , Wieczysta Krakow,34,31,35,46,54,58,42,PREMA,65.0,69.0,66.0,73
2026-7-24,17:00,Polonia Bytom , Warta Poznan,39,31,30,44,56,58,42,PREMA,70.0,69.0,61.0,73
2026-7-24,17:30,Dornbirn 1913 , Ried,18,35,47,31,69,45,55,PREMA,53.0,65.0,82.0,60
2026-7-24,18:00,Viborg , Odense,39,31,30,80,20,19,81,PREMA,70.0,69.0,61.0,34
2026-7-24,18:00,AAB Aalborg , Hillerod,38,30,32,82,18,18,82,PREMA,68.0,70.0,62.0,33
2026-7-24,18:00,Atert Bissen , RFC Liege,33,29,38,35,65,64,36,PREMA,62.0,71.0,67.0,79
2026-7-24,18:00,Benfica , Os Belenenses,44,32,24,29,71,62,38,PREMA,76.0,68.0,56.0,77
2026-7-24,18:00,Elche , Johor DT,43,31,26,38,62,58,42,PREMA,74.0,69.0,57.0,73
2026-7-24,18:00,Emmen , Twente,30,29,41,28,72,68,32,PREMA,59.0,71.0,70.0,83
2026-7-24,18:00,Orlando Pirates , Neom SC,36,31,33,48,52,56,44,PREMA,67.0,69.0,64.0,71
2026-7-24,18:00,Royal Antwerp , Olympiacos,35,30,35,45,55,58,42,PREMA,65.0,70.0,65.0,73
2026-7-24,18:00,York City ,Ettifaq,28,30,42,37,63,60,40,PREMA,58.0,70.0,72.0,75
