DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025.16.11,19:00,Nigeria , DR Congo,51,24,24,60,40,37,63,ACC
2025.16.11,00:30,Independiente , Rosario Central,68,16,16,65,35,33,67,ACC
2025.16.11,20:00,Instituto AC Cordoba , Talleres Cordoba,25,25,50,64,36,41,59,ACC
2025.16.11,20:00,Velez Sarsfield , River Plate,23,23,53,64,36,30,70,ACC
2025.16.11,23:15,Central Cordoba SdE , Banfield,44,28,28,68,32,29,71,ACC
2025.16.11,23:15,Estudiantes LP , Argentinos Jrs,26,47,26,63,37,32,68,ACC
2025.16.11,23:15,Boca Juniors , Tigre,65,17,17,70,30,36,64,ACC
2025.16.11,23:15,Newells , Racing Club,28,28,43,65,35,42,58,ACC
2025.16.11,20:15,Deportivo Madryn , CD Moron,69,15,15,60,40,39,61,ACC
2025.16.11,16:00,Integracion Del Norte San Juan , Universitario de Sucre,42,29,29,40,60,65,35,ACC
2025.16.11,19:30,Real Potosi , Club 1 de Mayo,69,15,15,67,33,33,67,ACC
2025.16.11,00:00,Santos , Palmeiras,23,23,53,31,69,60,40,ACC
2025.16.11,22:00,Bragantino , Atletico Mineiro,44,28,28,66,34,44,56,ACC
2025.16.11,19:30,Criciuma , Botafogo SP,55,22,22,67,33,36,64,ACC
2025.16.11,19:30,Ferroviaria , Athletico Paranaense,21,21,57,68,32,36,64,ACC
2025.16.11,19:30,Goias , Novorizontino,44,28,28,61,39,35,65,ACC
2025.16.11,19:30,America MG , Cuiaba,53,23,23,70,30,35,65,ACC
2025.16.11,12:30,Lokomotiv G. Oryahovitsa , Spartak Pleven,69,15,15,30,70,63,37,ACC
2025.16.11,12:30,Sportist Svoge , Chernomorets 1919 Burgas,26,26,47,33,67,64,36,ACC
2025.16.11,12:30,FK Minyor Pernik , Vihren,26,26,48,31,69,68,32,ACC
2025.16.11,12:30,Marek , Hebar 1918,44,28,28,35,65,73,27,ACC
2025.16.11,12:30,Ludogorets II , Etar Veliko Tarnovo,66,17,17,39,61,59,41,ACC
2025.16.11,12:30,Sevlievo , Pirin Blagoevgrad,29,29,42,38,62,69,31,ACC
2025.16.11,09:15,Bohemians 1905 II , Loko Vltavín,51,24,24,33,67,60,40,ACC
2025.16.11,09:30,Viktoria Plzeň II , Písek,61,19,19,33,67,67,33,ACC
2025.16.11,12:00,Dukla Praha II , Motorlet Praha,67,16,16,29,71,70,30,ACC
2025.16.11,12:30,Táborsko II , Admira Praha,26,26,48,39,61,68,32,ACC
2025.16.11,12:30,Sokol Zápy , Jablonec II,56,22,22,39,61,61,39,ACC
2025.16.11,12:30,Sokol Brozany , Slovan Liberec II,26,26,47,40,60,65,35,ACC
2025.16.11,09:15,Sigma Olomouc II , Zbrojovka Brno II,62,19,19,36,64,58,42,ACC
2025.16.11,13:00,Polanka nad Odrou , Hlučín,20,20,60,38,62,71,29,ACC
2025.16.11,12:00,Naestved , VSK Århus,59,20,20,38,62,64,36,ACC
2025.16.11,21:00,FAS , Platense,67,16,16,31,69,71,29,ACC
2025.16.11,21:00,Municipal Limeño , Cacahuatique,62,19,19,34,66,70,30,ACC
2025.16.11,21:00,Águila , Firpo,28,44,28,31,69,57,43,ACC
2025.16.11,21:00,Fuerte San Francisco , Alianza,21,21,57,36,64,69,31,ACC
2025.16.11,12:00,Aston Villa (W) , London City Lionesses (W),58,21,21,33,67,66,34,ACC
2025.16.11,12:00,Brighton (W) , Leicester (W),75,12,12,38,62,68,32,ACC
2025.16.11,12:00,Liverpool (W) , Chelsea (W),12,12,76,29,71,38,62,ACC
2025.16.11,12:00,West Ham (W) , Everton (W),21,21,58,33,67,69,31,ACC
2025.16.11,14:30,Tottenham (W) , Arsenal (W),11,11,77,65,35,41,59,ACC
2025.16.11,14:00,Hungary , Rep of Ireland,66,17,17,67,33,44,56,ACC
2025.16.11,14:00,Portugal , Armenia,75,12,12,31,69,28,72,ACC
2025.16.11,17:00,Albania , England,12,12,75,70,30,28,72,ACC
2025.16.11,17:00,Azerbaijan , France,14,14,72,34,66,44,56,ACC
2025.16.11,17:00,Serbia , Latvia,80,10,10,35,65,42,58,ACC
2025.16.11,17:00,Ukraine , Iceland,66,17,17,62,38,37,63,ACC
2025.16.11,19:45,Israel , Moldova,76,12,12,40,60,60,40,ACC
2025.16.11,19:45,Italy , Norway,60,20,20,40,60,70,30,ACC
2025.16.11,12:00,Reims St-Anne , Ajaccio GFCA,13,13,73,64,36,44,56,ACC
2025.16.11,13:00,Savigneux Montbrison , Feurs US,15,15,69,62,38,35,65,ACC
2025.16.11,13:00,Avion , Torcy,17,17,65,33,67,70,30,ACC
2025.16.11,13:00,Drancy , Beauvais,69,15,15,38,62,67,33,ACC
2025.16.11,13:00,SA Merignac , Colomiers,17,17,66,38,62,70,30,ACC
2025.16.11,13:00,Camon , US Lusitanos Saint-Maur,13,13,73,33,67,62,38,ACC
2025.16.11,14:00,UF Touraine , RC Epernay,59,20,20,61,39,41,59,ACC
2025.16.11,14:45,EBBE , Bordeaux,14,14,72,32,68,29,71,ACC
2025.16.11,12:00,Hamburger SV II , HSC Hannover,59,20,20,38,62,61,39,ACC
2025.16.11,13:00,St. Pauli II , Bremer SV,19,19,62,32,68,60,40,ACC
2025.16.11,13:00,Altona 93 , SSV Jeddeloh,19,19,62,30,70,67,33,ACC
2025.16.11,13:00,FC Astoria Walldorf , Balingen,68,16,16,32,68,66,34,ACC
2025.16.11,13:00,Freiburg II , FSV Mainz 05 II,56,22,22,34,66,64,36,ACC
2025.16.11,11:00,Ellas Syros , Kissamikos,60,20,20,32,68,60,40,ACC
2025.16.11,12:00,Asteras Tripolis II , Iraklis 1908,20,20,60,39,61,68,32,ACC
2025.16.11,13:00,Kavala , Kampaniakos Chalastra,66,17,17,39,61,59,41,ACC
2025.16.11,13:00,Kallithea , Egaleo,65,17,17,35,65,60,40,ACC
2025.16.11,13:00,Panargiakos , Ilioupoli,64,18,18,31,69,57,43,ACC
2025.16.11,15:00,Makedonikos Neapolis , Anagennisi Karditsas,15,15,69,32,68,65,35,ACC
2025.16.11,15:00,PAOK II , Niki Volos,19,19,61,34,66,67,33,ACC
2025.16.11,15:00,PAS Giannina , Nestos Chrisoupolis,60,20,20,31,69,63,37,ACC
2025.16.11,15:00,Panionios , Olympiakos Piraeus II,59,20,20,30,70,70,30,ACC
2025.16.11,02:00,Marquense , Mixco,55,22,22,34,66,62,38,ACC
2025.16.11,17:00,Aurora , Xelajú,65,17,17,30,70,61,39,ACC
2025.16.11,21:00,Achuapa , Mictlán,56,22,22,39,61,72,28,ACC
2025.16.11,00:00,Colombia , New Zealand,77,11,11,63,37,27,73,ACC
2025.16.11,00:00,Cayman Islands , Anguilla,73,13,13,70,30,35,65,ACC
2025.16.11,01:00,Mexico , Uruguay,17,17,66,38,62,59,41,ACC
2025.16.11,13:30,Alcione , Novara,23,54,23,37,63,63,37,ACC
2025.16.11,13:30,Albinoleffe , Virtus Verona,67,16,16,31,69,58,42,ACC
2025.16.11,16:30,Lecco , Pro Patria,55,22,22,37,63,70,30,ACC
2025.16.11,16:30,Vicenza Virtus , Renate,73,13,13,39,61,66,34,ACC
2025.16.11,13:30,Livorno , Ravenna,19,19,62,37,63,64,36,ACC
2025.16.11,16:30,Gubbio , Juventus U23,57,21,21,39,61,63,37,ACC
2025.16.11,16:30,Pontedera , Pianese,27,46,27,40,60,59,41,ACC
2025.16.11,11:30,Benevento , SS Monopoli,78,11,11,35,65,67,33,ACC
2025.16.11,13:30,Team Altamura , Salernitana,22,22,55,30,70,65,35,ACC
2025.16.11,13:30,Giugliano , Audace Cerignola,18,18,64,32,68,70,30,ACC
2025.16.11,13:30,Potenza , Trapani 1905,66,17,17,38,62,62,38,ACC
2025.16.11,16:30,Casertana , Atalanta II,61,19,19,31,69,72,28,ACC
2025.16.11,04:10,Machida Zelvia , FC Tokyo,59,20,20,60,40,40,60,ACC
2025.16.11,06:05,Vissel Kobe , Sanfrecce Hiroshima,27,46,27,30,70,69,31,ACC
2025.16.11,05:00,Fukushima United , Nara Club,63,18,18,32,68,60,40,ACC
2025.16.11,05:00,Sagamihara , FC Ryukyu,68,16,16,32,68,71,29,ACC
2025.16.11,05:00,Matsumoto Yamaga , Osaka,22,22,55,39,61,68,32,ACC
2025.16.11,05:00,Kanazawa , Tochigi SC,56,22,22,35,65,58,42,ACC
2025.16.11,05:00,Azul Claro Numazu , Thespakusatsu Gunma,65,17,17,38,62,60,40,ACC
2025.16.11,05:00,Gainare Tottori , Kitakyushu,20,20,60,39,61,57,43,ACC
2025.16.11,05:00,Kamatamare Sanuki , Kagoshima United,21,21,58,37,63,71,29,ACC
2025.16.11,01:00,Irapuato , Mineros de Zacatecas,69,15,15,31,69,60,40,ACC
2025.16.11,23:00,Cancún , Monarcas,57,21,21,32,68,63,37,ACC
2025.16.11,00:00,Tapachula , Cañoneros Marina,60,20,20,30,70,64,36,ACC
2025.16.11,01:00,Gavilanes FC Matamoros , Cordobés,69,15,15,33,67,56,44,ACC
2025.16.11,01:00,Celaya , Montañeses,62,19,19,38,62,58,42,ACC
2025.16.11,03:00,Los Cabos United , Tritons Vallarta,66,17,17,31,69,67,33,ACC
2025.16.11,21:00,2 de Mayo , General Caballero,66,17,17,40,60,73,27,ACC
2025.16.11,20:00,Sport Boys , Alianza Atletico,64,18,18,64,36,40,60,ACC
2025.16.11,18:00,UCV Moquegua , Cesar Vallejo,69,15,15,35,65,67,33,ACC
2025.16.11,11:00,Podhale Nowy Targ , Podbeskidzie,60,20,20,31,69,70,30,ACC
