DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-16,19:00,Nigeria,DR Congo,47,30,23,66,34,41,59,BCL
2025-11-16,00:30,Independiente,Rosario Central,55,28,17,66,34,39,61,BCL
2025-11-16,20:00,Instituto AC Cordoba,Talleres Cordoba,28,31,41,69,31,39,61,BCL
2025-11-16,20:00,Velez Sarsfield,River Plate,27,28,45,69,31,39,61,BCL
2025-11-16,23:15,Central Cordoba SdE,Banfield,43,30,27,69,31,41,59,BCL
2025-11-16,23:15,Estudiantes LP,Argentinos Jrs,38,32,30,69,31,41,59,BCL
2025-11-16,23:15,Boca Juniors,Tigre,60,27,13,67,33,35,65,BCL
2025-11-16,23:15,Newells,Racing Club,22,27,51,61,39,45,55,BCL
2025-11-16,20:15,Deportivo Madryn,CD Moron,61,29,10,77,23,23,77,BCL
2025-11-16,16:00,Integracion Del Norte San Juan,Universitario de Sucre,52,21,27,37,63,60,40,BCL
2025-11-16,19:30,Real Potosi,Club 1 de Mayo,73,18,9,42,58,58,42,BCL
2025-11-16,12:30,TOŠK Tešanj,Sloboda Tuzla,62,23,15,57,43,43,57,BCL
2025-11-16,12:30,Radnik Hadžići,Travnik,49,28,23,58,42,39,61,BCL
2025-11-16,17:00,Čelik,GOŠK Gabela,66,23,11,57,43,41,59,BCL
2025-11-16,00:00,Santos,Palmeiras,28,27,45,45,55,55,45,BCL
2025-11-16,22:00,Bragantino,Atletico Mineiro,46,30,24,61,39,45,55,BCL
2025-11-16,19:30,Criciuma,Botafogo SP,64,24,12,59,41,41,59,BCL
2025-11-16,19:30,Ferroviaria,Athletico Paranaense,20,27,53,59,41,45,55,BCL
2025-11-16,19:30,Goias,Novorizontino,48,29,23,63,37,43,57,BCL
2025-11-16,19:30,America MG,Cuiaba,53,26,21,62,38,41,59,BCL
2025-11-16,12:30,Lokomotiv G. Oryahovitsa,Spartak Pleven,71,22,7,63,37,34,66,BCL
2025-11-16,12:30,Sportist Svoge,Chernomorets 1919 Burgas,30,26,44,57,43,38,62,BCL
2025-11-16,12:30,FK Minyor Pernik,Vihren,31,36,33,59,41,38,62,BCL
2025-11-16,12:30,Marek,Hebar 1918,44,28,28,61,39,43,57,BCL
2025-11-16,12:30,Ludogorets II,Etar Veliko Tarnovo,57,24,19,46,54,55,45,BCL
2025-11-16,12:30,Sevlievo,Pirin Blagoevgrad,33,34,33,59,41,38,62,BCL
2025-11-16,19:00,Municipal Grecia,AD Sarchí,31,26,43,45,55,61,39,BCL
2025-11-16,19:00,AD Cofutpa,Quepos Cambute,27,37,36,30,70,72,28,BCL
2025-11-16,09:15,Bohemians 1905 II,Loko Vltavín,53,23,24,36,64,66,34,BCL
2025-11-16,09:30,Viktoria Plzeň II,Písek,55,24,21,46,54,57,43,BCL
2025-11-16,12:00,Dukla Praha II,Motorlet Praha,57,23,20,41,59,61,39,BCL
2025-11-16,12:30,Táborsko II,Admira Praha,27,22,51,34,66,68,32,BCL
2025-11-16,12:30,Sokol Zápy,Jablonec II,59,22,19,39,61,62,38,BCL
2025-11-16,12:30,Sokol Brozany,Slovan Liberec II,31,22,47,31,69,71,29,BCL
2025-11-16,12:30,Varnsdorf,Baník Souš,20,19,61,36,64,64,36,BCL
2025-11-16,09:15,Sigma Olomouc II,Zbrojovka Brno II,55,23,22,41,59,62,38,BCL
2025-11-16,13:00,Polanka nad Odrou,Hlučín,18,19,63,30,70,67,33,BCL
2025-11-16,12:00,Naestved,VSK Århus,67,21,12,60,40,42,58,BCL
2025-11-16,21:00,Fuerte San Francisco,Alianza,17,22,61,55,45,38,62,BCL
2025-11-16,21:00,FAS,Platense,67,20,13,54,46,42,58,BCL
2025-11-16,21:00,Municipal Limeño,Cacahuatique,48,27,25,63,37,39,61,BCL
2025-11-16,21:00,Águila,Firpo,30,36,34,55,45,38,62,BCL
2025-11-16,14:00,Hungary,Rep of Ireland,55,25,20,60,40,43,57,BCL
2025-11-16,14:00,Portugal,Armenia,87,8,5,23,77,35,65,BCL
2025-11-16,17:00,Albania,England,10,19,71,64,36,43,57,BCL
2025-11-16,17:00,Azerbaijan,France,5,9,86,25,75,37,63,BCL
2025-11-16,17:00,Serbia,Latvia,81,14,5,37,63,39,61,BCL
2025-11-16,17:00,Ukraine,Iceland,58,25,17,58,42,43,57,BCL
2025-11-16,19:45,Israel,Moldova,70,18,12,42,58,53,47,BCL
2025-11-16,19:45,Italy,Norway,50,24,26,42,58,61,39,BCL
2025-11-16,12:00,Reims St-Anne,Ajaccio GFCA,15,19,66,42,58,62,38,BCL
2025-11-16,13:00,Savigneux Montbrison,Feurs US,21,20,59,45,55,62,38,BCL
2025-11-16,13:00,Avion,Torcy,30,23,47,43,57,62,38,BCL
2025-11-16,13:00,Drancy,Beauvais,30,37,33,57,43,53,47,BCL
2025-11-16,13:00,SA Merignac,Colomiers,33,23,44,48,52,57,43,BCL
2025-11-16,13:00,Camon,US Lusitanos Saint-Maur,10,24,66,45,55,53,47,BCL
2025-11-16,14:00,UF Touraine,RC Epernay,55,24,21,43,57,60,40,BCL
2025-11-16,14:45,EBBE,Bordeaux,5,8,87,19,81,29,71,BCL
2025-11-16,11:00,Ellas Syros,Kissamikos,52,29,19,67,33,40,60,BCL
2025-11-16,12:00,Asteras Tripolis II,Iraklis 1908,20,26,54,58,42,38,62,BCL
2025-11-16,13:00,Kavala,Kampaniakos Chalastra,45,29,26,63,37,39,61,BCL
2025-11-16,13:00,Kallithea,Egaleo,57,22,21,61,39,40,60,BCL
2025-11-16,13:00,Panargiakos,Ilioupoli,30,37,33,59,41,38,62,BCL
2025-11-16,15:00,Panionios,Olympiakos Piraeus II,63,24,13,57,43,41,59,BCL
2025-11-16,02:00,Marquense,Mixco,52,25,23,63,37,40,60,BCL
2025-11-16,21:00,Achuapa,Mictlán,57,26,17,63,37,40,60,BCL
2025-11-16,01:00,Mexico,Uruguay,30,36,34,58,42,53,47,BCL
2025-11-16,04:10,Machida Zelvia,FC Tokyo,50,28,22,62,38,43,57,BCL
2025-11-16,06:05,Vissel Kobe,Sanfrecce Hiroshima,30,36,34,57,43,55,45,BCL
2025-11-16,11:00,Tusker,Police,42,32,26,76,24,34,66,BCL
2025-11-16,13:00,AFC Leopards,Muranga SEAL,55,28,17,71,29,34,66,BCL
2025-11-16,01:00,Irapuato,Mineros de Zacatecas,47,26,27,63,37,39,61,BCL
2025-11-16,23:00,Cancún,Monarcas,54,23,23,62,38,40,60,BCL
2025-11-16,00:00,Tapachula,Cañoneros Marina,46,23,31,63,37,39,61,BCL
2025-11-16,01:00,Gavilanes FC Matamoros,Cordobés,54,24,22,57,43,40,60,BCL
2025-11-16,01:00,Celaya,Montañeses,48,25,27,63,37,39,61,BCL
2025-11-16,03:00,Los Cabos United,Tritons Vallarta,51,24,25,63,37,39,61,BCL
