DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
16/11/25,19:00,Nigeria,DR Congo,51,26,23,71,29,38,62,FST
16/11/25,00:30,Independiente,Rosario Central,60,20,20,72,28,28,72,FST
16/11/25,20:00,Instituto AC Cordoba,Talleres Cordoba,4,51,45,74,26,27,73,FST
16/11/25,20:00,Velez Sarsfield,River Plate,5,45,50,75,25,29,71,FST
16/11/25,23:15,Central Cordoba SdE,Banfield,50,30,20,77,23,37,63,FST
16/11/25,23:15,Estudiantes LP,Argentinos Jrs,33,43,24,75,25,37,63,FST
16/11/25,23:15,Boca Juniors,Tigre,65,19,16,73,27,30,70,FST
16/11/25,23:15,Newells,Racing Club,39,5,56,67,33,32,68,FST
16/11/25,20:15,Deportivo Madryn,CD Moron,69,18,13,86,14,17,83,FST
16/11/25,00:00,Santos,Palmeiras,5,45,50,39,61,66,34,FST
16/11/25,22:00,Bragantino,Atletico Mineiro,52,26,22,68,32,33,67,FST
16/11/25,19:30,Ferroviaria,Athletico Paranaense,39,4,57,64,36,34,66,FST
16/11/25,19:30,Goias,Novorizontino,55,26,19,71,29,30,70,FST
16/11/25,19:30,America MG,Cuiaba,61,15,24,71,29,37,63,FST
16/11/25,19:30,Criciuma,Botafogo SP,72,12,16,68,32,37,63,FST
16/11/25,12:30,Lokomotiv G. Oryahovitsa,Spartak Pleven,77,10,13,70,30,25,75,FST
16/11/25,12:30,Sportist Svoge,Chernomorets 1919 Burgas,16,52,32,66,34,61,39,FST
16/11/25,12:30,FK Minyor Pernik,Vihren,30,50,20,65,35,57,43,FST
16/11/25,12:30,Marek,Hebar 1918,49,34,17,67,33,32,68,FST
16/11/25,12:30,Ludogorets II,Etar Veliko Tarnovo,65,10,25,38,62,66,34,FST
16/11/25,12:30,Sevlievo,Pirin Blagoevgrad,20,47,33,67,33,61,39,FST
16/11/25,21:00,FAS,Platense,72,10,18,59,41,34,66,FST
16/11/25,21:00,Municipal Limeño,Cacahuatique,55,30,15,71,29,33,67,FST
16/11/25,21:00,Águila,Firpo,32,46,22,61,39,63,37,FST
16/11/25,21:00,Fuerte San Francisco,Alianza,27,6,67,38,62,67,33,FST
16/11/25,14:00,Hungary,Rep of Ireland,61,16,23,67,33,37,63,FST
16/11/25,14:00,Portugal,Armenia,89,7,4,18,82,30,70,FST
16/11/25,17:00,Albania,England,13,8,79,65,35,30,70,FST
16/11/25,17:00,Azerbaijan,France,7,4,89,21,79,28,72,FST
16/11/25,17:00,Serbia,Latvia,88,6,6,32,68,31,69,FST
16/11/25,17:00,Ukraine,Iceland,64,16,20,65,35,32,68,FST
16/11/25,19:45,Israel,Moldova,76,9,15,36,64,58,42,FST
