DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
16/11/2025,0:00,Estudiantes Río Cuarto,Estudiantes BsAs,25,45,29,68,32,51,49,Forebet
16/11/2025,0:00,Atlante FC,Tepatitlán de Morelos,48,35,17,57,43,49,51,Forebet
16/11/2025,0:00,SV Robinhood,SV Notch,36,49,15,41,59,83,17,Forebet
16/11/2025,0:00,UA Zacatecas,Tigres de Álica,36,19,45,20,80,62,38,Forebet
16/11/2025,0:00,Sporting Canamy,Zacatepec,30,28,42,48,52,57,43,Forebet
16/11/2025,16/11/2025,La Horquetta Rangers,Club Sando,17,27,56,51,49,38,62,Forebet
16/11/2025,0:00,Centro Barber,Atlétiko Saliña,69,16,15,60,40,23,77,Forebet
16/11/2025,0:15,Alianza FC (PAN),San Francisco FC,25,36,39,60,40,42,58,Forebet
16/11/2025,0:20,Patriotas Boyacá,Boca Juniors Cali,39,32,29,55,45,39,61,Forebet
16/11/2025,0:30,Pittsburgh Riverhounds,Rhode Island,42,31,28,80,20,30,70,Forebet
16/11/2025,1:00,Santos,Palmeiras,27,21,52,50,50,49,51,Forebet
16/11/2025,1:00,Palmeiras W,Taubaté W,74,14,12,50,50,49,51,Forebet
16/11/2025,1:30,Independiente,Rosario Central,22,27,51,50,50,44,56,Forebet
16/11/2025,2:00,CD Irapuato,Zacatecas,23,53,24,45,55,72,28,Forebet
16/11/2025,2:00,CD Walter Ferretti,Jalapa ART,38,35,26,51,49,49,51,Forebet
16/11/2025,2:00,Celaya FC,Montaneses,43,25,32,70,30,49,51,Forebet
16/11/2025,2:00,Gavilanes FC Matamoros,Cordobés,43,30,28,77,23,36,64,Forebet
16/11/2025,2:15,UNDEBA,Centro Dominguito,23,49,28,56,44,51,49,Forebet
16/11/2025,2:30,FC Tulsa,New Mexico United,31,37,32,55,45,60,40,Forebet
16/11/2025,3:00,CD Marquense,Deportivo Mixco,40,21,39,72,28,35,65,Forebet
16/11/2025,3:00,Cafetaleros Tapachula,Cañoneros Marina,60,10,30,3,97,49,51,Forebet
16/11/2025,3:00,Racing Porto Palmeiras,Pioneros de Cancún,61,14,25,42,58,68,32,Forebet
16/11/2025,3:00,Calor de San Pedro,Real Apodaca,28,29,43,45,55,76,24,Forebet
16/11/2025,3:00,Broadmeadow,Sydney Olympic,42,14,44,30,70,85,15,Forebet
16/11/2025,3:00,N.E. MetroStars,Sydney United,70,14,15,33,67,70,30,Forebet
16/11/2025,3:00,South Hobart,Heidelberg United,10,22,69,7,93,96,4,Forebet
16/11/2025,4:00,Los Cabos United,Tritones Vallarta,43,38,19,55,45,49,51,Forebet
16/11/2025,4:00,Wellington Phoenix W,Newcastle Jets W,23,21,56,32,68,68,32,Forebet
16/11/2025,5:00,Alacranes Durango,Cimarrones Sonora,25,31,44,32,68,78,22,Forebet
16/11/2025,5:00,Grulla Morioka,Criacao Shinjuku,45,42,13,45,55,49,51,Forebet
16/11/2025,5:00,Briobecca Urayasu,MIO Biwako Kusatsu,26,38,36,38,62,65,35,Forebet
16/11/2025,5:00,Okinawa SV,TIAMO Hirakata,27,37,35,33,67,73,27,Forebet
16/11/2025,5:00,Reinmeer Aomori FC,Verspah Oita,41,32,27,40,60,62,38,Forebet
16/11/2025,5:00,Suzuka Unlimited,YSCC,47,30,22,32,68,59,41,Forebet
16/11/2025,5:00,Honda Lock SC,Honda FC,14,29,56,45,55,63,37,Forebet
16/11/2025,5:10,Machida Zelvia,FC Tokyo,38,36,26,71,29,41,59,Forebet
16/11/2025,6:00,Matsumoto Yamaga,FC Osaka,24,26,50,58,42,41,59,Forebet
16/11/2025,6:00,Fukushima United,Nara Club,30,47,23,52,48,61,39,Forebet
16/11/2025,6:00,Sagamihara,Ryukyu,42,35,23,50,50,41,59,Forebet
16/11/2025,6:00,Zweigen Kanazawa,Tochigi SC,33,35,32,57,43,53,47,Forebet
16/11/2025,6:00,Azul Claro Numazu,Thespakusatsu,29,36,34,53,47,52,48,Forebet
16/11/2025,6:00,Gainare Tottori,Giravanz K.,26,28,45,32,68,57,43,Forebet
16/11/2025,6:00,Kamatamare Sanuki,Kagoshima United,20,21,58,42,58,62,38,Forebet
16/11/2025,6:00,Brisbane Roar W,WS Wanderers W,73,11,16,36,64,68,32,Forebet
16/11/2025,6:30,3 Sing,WSE,24,22,53,30,70,81,19,Forebet
16/11/2025,6:30,Yuen Long,Lucky Mile,41,30,29,55,45,38,62,Forebet
16/11/2025,6:30,Central & Western,Tung Sing FC,32,29,39,68,32,45,55,Forebet
16/11/2025,6:30,Hoi King,South China AA,23,31,45,37,63,85,15,Forebet
16/11/2025,6:30,APIA Tigers,Bayswater City,32,24,44,63,37,49,51,Forebet
16/11/2025,6:30,Canberra FC,NWS Spirit,32,25,44,33,67,79,21,Forebet
16/11/2025,7:05,Vissel Kobe,Sanfrecce,27,43,30,53,47,36,64,Forebet
16/11/2025,8:30,Supreme,Resources Capital,32,34,33,66,34,71,29,Forebet
16/11/2025,8:30,Kwun Tong FA,Sham Shui Po SA,28,29,43,70,30,43,57,Forebet
16/11/2025,8:30,Shatin SA,Citizen AA,55,27,18,31,69,67,33,Forebet
16/11/2025,9:30,Marines Eureka,Pattaya City,26,27,47,72,28,45,55,Forebet
16/11/2025,9:30,Royal Thai Fleet,Saimit Kabin United,30,29,41,47,53,57,43,Forebet
16/11/2025,9:30,Roi Et United,Khonkaen Mordindang FC,53,20,26,35,65,63,37,Forebet
16/11/2025,9:30,Futera United,Saraburi United,39,32,29,77,23,33,67,Forebet
16/11/2025,9:30,North Bangkok University,Ang Thong,30,39,31,40,60,76,24,Forebet
