DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-16,00:00,Santos SP , Palmeiras SP,23,25,52,52,48,50,50,PREMA
2025-11-16,00:00,Colombia , New Zealand,46,35,19,44,56,42,58,PREMA
2025-11-16,00:00,Martinique , Cuba,33,32,35,51,49,55,45,PREMA
2025-11-16,00:30,Independiente , Rosario Central,40,35,25,69,31,39,61,PREMA
2025-11-16,00:30,Aurora Cochabamba , The Strongest,35,29,36,31,69,70,30,PREMA
2025-11-16,01:00,Mexico , Uruguay,33,32,35,57,43,49,51,PREMA
2025-11-16,01:00,Irapuato , Zacatecas,37,31,32,50,50,54,46,PREMA
2025-11-16,01:00,Walter Ferretti , ART Mun. Jalapa,44,21,35,33,67,57,43,PREMA
2025-11-16,02:00,Marquense , Dep. Mixco,33,19,48,54,46,43,57,PREMA
2025-11-16,04:10,Machida Zelvia , Tokyo,38,33,29,59,41,46,54,PREMA
2025-11-16,06:05,Vissel Kobe , S. Hiroshima,34,31,35,54,46,52,48,PREMA
2025-11-16,09:30,Petrzalka , Slovan Brat. B,51,22,27,45,55,59,41,PREMA
2025-11-16,09:30,FC Chernihiv , Probiy Horodenka,28,32,40,69,31,39,61,PREMA
2025-11-16,10:00,Carroi , Esperanca,8,77,15,51,49,45,55,PREMA
2025-11-16,10:00,Sokol Saratov , Fakel Voronezh,13,42,45,74,26,38,62,PREMA
2025-11-16,10:00,Slavia TU Kosice , STK Samorin,24,26,50,41,59,71,29,PREMA
2025-11-16,10:30,Prykarpattia , Viktoriya Sumy,49,28,23,52,48,46,54,PREMA
2025-11-16,11:00,Hellas Syros , Chania,36,34,30,69,31,43,57,PREMA
2025-11-16,11:00,Felgueiras 1932 , Farense,26,23,51,59,41,44,56,PREMA
2025-11-16,11:00,Ufa , Arsenal Tula,29,40,31,50,50,56,44,PREMA
2025-11-16,11:00,Alcorcon , Atl. Madrid B,30,32,38,58,42,45,55,PREMA
2025-11-16,11:00,Antequera , Sevilla B,26,56,18,76,24,48,52,PREMA
2025-11-16,11:00,Juv. Torremolinos , Algeciras,39,32,29,64,36,51,49,PREMA
2025-11-16,11:00,Real Murcia , Teruel,20,43,37,70,30,51,49,PREMA
2025-11-16,11:00,Song Lam NA , SHB Da Nang,37,33,30,62,38,44,56,PREMA
2025-11-16,11:30,Ospitaletto , Union Brescia,26,22,52,55,45,53,47,PREMA
2025-11-16,11:30,Benevento , Monopoli 1966,43,21,36,55,45,41,59,PREMA
2025-11-16,11:30,FSC Mariupol , Vorskla Poltava,28,24,48,74,26,31,69,PREMA
2025-11-16,12:00,Ast. Tripolis B , Iraklis,44,19,37,51,49,55,45,PREMA
2025-11-16,12:00,FC Chelyabinsk , KAMAZ,32,34,34,56,44,54,46,PREMA
2025-11-16,12:30,Lokomotiv GO , Spartak Pleven,47,38,15,66,34,48,52,PREMA
2025-11-16,12:30,Ludogorets II , Etar V. Tarnovo,40,29,31,60,40,42,58,PREMA
2025-11-16,12:30,Marek Dupnitsa , Hebar,26,39,35,60,40,52,48,PREMA
2025-11-16,12:30,Minyor Pernik , Vihren Sandanski,25,33,42,60,40,49,51,PREMA
2025-11-16,12:30,Sevlievo , Pirin Blagoevgrad,25,23,52,56,44,48,52,PREMA
2025-11-16,12:30,Sportist Svoge , Chernom. Burgas,24,44,32,61,39,50,50,PREMA
2025-11-16,12:30,Nyva Ternopil , Chornomorets Od,27,29,44,63,37,44,56,PREMA
